Text,Label
"Good morning class, today we are going to learn about ancient civilizations.",NEU
Can anyone tell me what a civilization is?,OTR
"Yes, that's right. A civilization is a complex society with its own government, religion, and economy.",NEU
"Now, let's talk about the first civilization we know of, the Sumerians.",NEU
They lived in a region called Mesopotamia. Can anyone find Mesopotamia on the map?,OTR
"Good job, Sarah! Mesopotamia is between the Tigris and Euphrates rivers.",PRS
The Sumerians invented many things we still use today. Can anyone give me an example?,OTR
"Excellent, they did invent the wheel!",PRS
They also invented writing. They wrote on clay tablets using a script called cuneiform.,NEU
"Jack, please stop talking while I am teaching.",REP
Let's move on to the ancient Egyptians.,NEU
They built incredible structures called pyramids. Does anyone know why they built these?,OTR
"That's correct, they built them as tombs for their pharaohs.",NEU
Can anyone tell me about a famous pharaoh?,OTR
"Yes, King Tutankhamun is a very famous pharaoh.",NEU
The ancient Egyptians also invented paper using a plant called papyrus.,NEU
"Now, let's talk about the ancient Greeks.",NEU
"They are known for their philosophy, art, and mythology. Can anyone name a famous Greek philosopher?",OTR
"Yes, Socrates is a very famous Greek philosopher.",NEU
The ancient Greeks also invented the Olympics. The first Olympic games were held in 776 BCE.,NEU
"Jack, I need you to focus on the lesson.",REP
Let's move on to the ancient Romans.,NEU
The Romans built a large empire and they were known for their engineering skills.,NEU
"They built roads, bridges, and huge buildings called colosseums.",NEU
Does anyone know what the colosseums were used for?,OTR
"Yes, they were used for various events including gladiator fights.",NEU
The Romans also developed a system of law that has influenced the legal systems of many countries.,NEU
"Now, let's talk about the ancient Chinese civilization.",NEU
"They invented gunpowder, paper money, and the compass.",NEU
Can anyone tell me about a famous Chinese philosopher?,OTR
"Yes, Confucius is a very famous Chinese philosopher.",PRS
The ancient Chinese also built the Great Wall of China to protect themselves from invasions.,NEU
"Jack, this is your last warning. Please stop disrupting the class.",REP
"Now, let's move on to the ancient Indian civilization.",NEU
They developed a number system that is the precursor to the one we use today.,NEU
They also practiced yoga and meditation.,NEU
Does anyone know what religion originated in ancient India?,OTR
"Yes, Hinduism originated in ancient India.",NEU
Buddhism also originated in ancient India and it was founded by Siddhartha Gautama.,NEU
Let's move on to the Maya civilization.,NEU
The Maya were known for their advanced knowledge in astronomy and mathematics.,NEU
They developed a calendar that is more accurate than the one we use today.,NEU
Does anyone know where the Maya civilization was located?,OTR
"Yes, it was located in what is now Mexico and Central America.",NEU
The Maya also built large cities with tall pyramids.,NEU
"Jack, I am going to have to ask you to leave the class if you continue this behavior.",REP
"Now, let's move on to the Inca civilization.",NEU
The Inca were known for their architecture and road systems.,NEU
They built a large empire in what is now Peru.,NEU
Does anyone know what the Inca built high in the mountains?,OTR
"Yes, they built the city of Machu Picchu high in the Andes mountains.",NEU
The Inca also developed a system of record-keeping using knots tied in strings called quipu.,NEU
"Now, we have covered a lot today. Let's take a few minutes to review.",NEU
Can anyone tell me one thing the Sumerians invented?,OTR
"Yes, they invented writing.",PRS
What about the ancient Egyptians? What is one thing they are known for?,OTR
"Yes, they are known for building pyramids.",NEU
What is one thing the ancient Greeks are known for?,OTR
"Yes, they are known for their philosophy.",NEU
What is one thing the ancient Romans are known for?,OTR
"Yes, they are known for their engineering skills.",NEU
What is one thing the ancient Chinese are known for?,OTR
"Yes, they are known for inventing paper money.",NEU
What is one thing the ancient Indians are known for?,OTR
"Yes, they are known for developing a number system.",NEU
What is one thing the Maya are known for?,OTR
"Yes, they are known for their advanced knowledge in astronomy.",NEU
What is one thing the Inca are known for?,OTR
"Yes, they are known for their architecture.",NEU
Great job everyone! You all did very well today.,PRS
Please remember to read the chapter on ancient civilizations for homework.,NEU
And don't forget to answer the questions at the end of the chapter.,NEU
"Jack, I need to speak with you after class.",REP
